n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,0.45025906,0.53950423,0.5291606,0.4436261,0.45572785,0.483655568,0.046603174441651185
2,0.43194118,0.431518,0.3383042,0.35013017,0.34779137,0.379936984,0.04748713767183941
3,0.34663662,0.35768092,0.32116807,0.36568797,0.34524626,0.347283968,0.016833117226015194
4,0.33160865,0.2825085,0.26266915,0.31773168,0.2602031,0.29094421600000003,0.03235282559048792
5,0.32166624,0.31748182,0.24642956,0.27721834,0.291707,0.29090059199999996,0.030897466642294806
6,0.36233085,0.25884467,0.20163926,0.28903735,0.279738,0.278318026,0.057952393347510074
7,0.35064662,0.253976,0.21089783,0.27913517,0.23269162,0.265469448,0.05391300732235933
8,0.26806337,0.28428745,0.18385276,0.216493,0.2457028,0.23967987600000001,0.04026795283733741
9,0.20350647,0.25304115,0.2254055,0.21779835,0.18176687,0.21630366799999998,0.02641627668920092
10,0.1986697,0.21288073,0.22178885,0.1928747,0.18691626,0.20262604800000003,0.014404082752222372
11,0.27356684,0.18129766,0.21656361,0.16832623,0.19100364,0.206151596,0.041626800795340126
12,0.20186014,0.20412314,0.18712597,0.17998254,0.18803415,0.19222518800000002,0.010342180809885795
13,0.15712376,0.15948245,0.17572764,0.17007463,0.17836025,0.168153746,0.009514178301967541
14,0.22388908,0.17647424,0.20939723,0.14646515,0.19720536,0.19068621199999997,0.03021801780893429
15,0.18977101,0.20465717,0.17856225,0.15715659,0.16340588,0.17871058,0.019328663774379223
16,0.16560331,0.19661333,0.14436874,0.14615044,0.15436704,0.16142057199999998,0.021387611673302144
17,0.21441609,0.16725004,0.17501906,0.13492778,0.1613143,0.170585454,0.0287633904141233
18,0.13975401,0.11576391,0.16494253,0.11125161,0.15329769,0.13700195,0.023280546279484077
19,0.16580595,0.1649419,0.12762336,0.12176441,0.13033816,0.14209475600000002,0.021477747379777288
20,0.13632573,0.19441743,0.1302474,0.11891913,0.13484621,0.14295118,0.029568934157984117
21,0.1423316,0.15052587,0.15813746,0.12918326,0.12947826,0.14193129,0.012789226174823871
22,0.16478023,0.1426081,0.10922874,0.13900161,0.117511585,0.13462605300000002,0.021966232531210144
23,0.12650216,0.1386367,0.12019195,0.12018136,0.10683298,0.12246902999999998,0.011538677109872695
24,0.13480854,0.12014772,0.10079562,0.10841769,0.10590703,0.11401532,0.013618026877629889
25,0.14053716,0.12011807,0.111914046,0.102465965,0.10858314,0.11672367619999999,0.014758786543185118
26,0.14886357,0.10659837,0.11357805,0.1212122,0.11313376,0.12067718999999999,0.016585178252745733
27,0.1428386,0.14423165,0.11906308,0.11399844,0.10616799,0.125259952,0.01731083532524557
28,0.12553799,0.11020973,0.09715983,0.12474992,0.10256173,0.11204384,0.012829114119973362
29,0.093393266,0.11679545,0.10291422,0.09920223,0.106588796,0.10377879240000001,0.00875901054270234
30,0.12321293,0.109715685,0.09662227,0.10842146,0.08000328,0.10359512500000001,0.01620809130202335
31,0.115504205,0.09177348,0.099214606,0.09776005,0.09013967,0.09887840219999999,0.01005766403438488
32,0.097663455,0.099332154,0.10311454,0.12162561,0.09899451,0.1041460538,0.00997916614349702
