n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,-0.0028788543,0.00051716366,-0.0007888953,-0.001472675,0.00064124045,-0.0007964040979999998,0.001465117713700883
2,-0.002554329,-0.00055479165,0.0014035236,0.0008895596,-0.0014238135,-0.00044797019,0.0016292209503317003
3,-0.00065860816,0.0015342748,-0.00020780455,0.0001975008,-0.0028262115,-0.000392169722,0.001588115168666888
4,-0.0016872578,0.0017034031,-0.0005078352,-0.0006311438,-0.0021058233,-0.0006457314,0.0014793838799886441
5,-0.0008138456,0.0006130363,-0.00021795717,0.00026951905,-0.001631408,-0.00035613108399999997,0.0008924193702421085
6,-0.0011412732,0.0004102445,-6.147199e-05,-0.00060300657,-0.002736522,-0.000826405852,0.001215732319552806
7,-0.000828192,0.00023354332,0.001018267,0.00057240215,-0.0029199356,-0.000384783026,0.0015724734018778364
8,-0.0019762933,0.0031067347,-0.00038394652,-0.00035659183,-0.0025308789,-0.00042819517000000006,0.002197765959768033
9,9.7053366e-05,0.0031254992,0.00030203146,-0.0006220003,-0.0031489036,-4.92639748e-05,0.0022449794635536133
10,0.0011904131,0.0022198558,-0.00044615456,-0.00090697693,-0.0022671102,-4.1994558000000086e-05,0.0017675884071837987
11,0.0012718957,0.0011719626,0.0002866271,-0.00081660587,-0.0025127293,-0.00011976995400000009,0.0015797388688105066
12,0.001058149,0.0011279064,2.9567416e-05,-0.0006170367,-0.001959373,-7.215737679999991e-05,0.0012832156670444647
13,0.0009838423,0.00082366506,-0.00020242184,0.00031440554,-0.0019208868,-2.791479999999635e-07,0.001170042836397666
14,0.0009597821,0.00088550634,-0.00025205198,0.0018108808,-0.0016265721,0.00035550903199999993,0.001328714234459548
15,0.00078711065,0.0007758012,-0.0005265947,0.00050202745,-0.0008036387,0.00014694117999999997,0.0007564094169372138
16,0.00036876643,0.0007055259,-4.0705756e-05,-0.00082993635,7.244956e-05,5.521995680000001e-05,0.0005731948838937402
17,-0.00021452503,0.00056566915,0.00043076155,-0.0014333242,-0.00019958995,-0.00017020169600000002,0.0007907226777696599
18,-0.0007342646,0.0003466441,0.0005821504,-0.0016431907,-0.0002430775,-0.00033834766,0.0008923245451534844
19,-0.0007774634,7.714267e-05,0.00058146066,-0.0015163533,-0.00020465183,-0.00036797303999999996,0.0008081902220565024
20,-0.0005183517,-0.00010156541,0.0005692288,-0.0011750287,-0.00015701495,-0.00027654639199999997,0.0006375700059320746
21,-0.00053908187,-0.00011523109,0.00014094186,-0.0006994397,-2.911004e-05,-0.00024838416799999996,0.0003554370156459422
22,-0.0006850341,2.7659336e-05,-1.4813434e-05,-0.0001636268,8.05255e-05,-0.0001510578996,0.0003120183630526875
23,-0.0007621647,0.00013900452,-8.5037755e-05,0.000105498504,2.5725629e-05,-0.00011539476039999998,0.0003717057623230964
24,-0.00053508545,0.00014401955,9.696737e-05,0.00019069036,-5.178233e-05,-3.1038100000000004e-05,0.0002960946408108945
25,-0.00081283884,0.00010075589,-0.00019538704,0.00014094538,-0.00019903207,-0.00019311133599999997,0.00038146239957415984
26,-0.00032055768,3.4980649e-06,-0.00014510355,9.0454836e-05,0.00016816074,-4.070951781999999e-05,0.00019493479070902117
