n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,0.620258,0.6312964,0.6071234,0.65136826,0.6457517,0.631159552,0.018151596545717984
2,0.6441777,0.56343883,0.5198302,0.65255386,0.5871475,0.5934296179999999,0.05573784737527742
3,0.98158693,0.8974015,0.8292063,1.060416,0.9587902,0.945480186,0.08735312156390282
4,1.2304764,1.1335804,1.0266238,1.3634899,1.1814072,1.1871155400000002,0.124141324721013
5,1.4205344,1.3212339,1.1763723,1.5907037,1.3911448,1.37999782,0.1508981345451527
6,1.548806,1.4389589,1.2684497,1.7637075,1.5632308,1.51663058,0.1815767617458991
7,1.6500545,1.5030948,1.3484564,1.869653,1.6398036,1.60221246,0.19328919107386214
8,1.71737,1.5657482,1.4085921,1.9037154,1.700585,1.65920214,0.18467661357418275
9,1.7294624,1.60167,1.4361581,1.8823752,1.7142844,1.67279002,0.16576505415027012
10,1.7256188,1.5791171,1.4520984,1.881177,1.6932137,1.666245,0.16116634324518572
11,1.7190787,1.5470648,1.4497985,1.8298607,1.646654,1.6384913400000003,0.14760333976615503
12,1.6878065,1.5306761,1.4142784,1.7948484,1.6063883,1.6067995400000001,0.14558832190324542
13,1.6364641,1.5171311,1.3878418,1.7393969,1.5755106,1.5712689000000002,0.1314456474262081
14,1.5963495,1.4858618,1.3586738,1.6954904,1.5533061,1.53793632,0.12581576269449307
15,1.5706207,1.4689937,1.3508029,1.643492,1.524029,1.51158766,0.11034539652859565
16,1.5215948,1.4693917,1.2991818,1.5919621,1.4725776,1.4709416,0.10807198489032667
17,1.5046992,1.4362668,1.2921553,1.5084567,1.4235132,1.4330182399999998,0.08771030165637902
18,1.463135,1.3826618,1.2468315,1.433697,1.3800459,1.38127424,0.08295723939839728
19,1.4177607,1.3718202,1.224614,1.357297,1.3449438,1.34328714,0.0718379800472424
20,1.3724825,1.3556823,1.1941946,1.2979755,1.3042241,1.3049118,0.06973221410072963
21,1.3405285,1.2951372,1.1658257,1.2417705,1.2779912,1.2642506199999999,0.06548648717931813
22,1.3242778,1.2604294,1.0982121,1.2059858,1.251996,1.22818022,0.08400334869070397
23,1.278394,1.2032111,1.062167,1.1691746,1.2288733,1.1883640000000002,0.08102585474134165
24,1.2388643,1.1630548,1.0210507,1.1464417,1.2093048,1.15574326,0.08375561057745921
25,1.1918238,1.1475278,1.0059521,1.1159799,1.1860168,1.1294600799999999,0.07558153715013345
26,1.1572936,1.0996772,0.9756974,1.1169524,1.1602218,1.10196848,0.0752138146569631
27,1.113695,1.0911087,0.9870845,1.0832646,1.1267273,1.0803760199999999,0.054966893681988246
28,1.0813229,1.060679,0.95053566,1.0680803,1.0980718,1.051737932,0.0583331235281304
29,1.0221236,1.0408211,0.943439,1.052858,1.0606759,1.02398352,0.04731397639711757
30,0.9824971,1.022037,0.94952214,1.0377612,1.0028576,0.9989350080000001,0.034526794996745956
31,0.97710526,0.9780867,0.89256394,1.0167148,0.98294115,0.96948237,0.04599083882459419
32,0.9255383,0.9649945,0.8644526,0.989936,0.95250905,0.9394860899999999,0.04793233604353641
33,0.8859893,0.9520906,0.8500476,0.95365334,0.9685135,0.922058868,0.05134390148013804
34,0.8731262,0.893888,0.8306112,0.93935156,0.94301605,0.895998602,0.047151970102383
35,0.8754309,0.8866599,0.8259074,0.91378903,0.9294801,0.886253466,0.03995525615255497
36,0.87168,0.88218737,0.80890036,0.88188607,0.94776636,0.878484032,0.049278574980552874
37,0.8433261,0.82639194,0.7717422,0.86560905,0.9767023,0.8567543180000001,0.07549035684771346
38,0.85461617,0.8563015,0.7729114,0.85807264,0.91377133,0.8511346080000001,0.05032192252798246
39,0.83202004,0.82649004,0.74812937,0.84858215,0.9249314,0.8360306,0.06303694702351667
40,0.8048427,0.8269552,0.73054945,0.83010733,0.90815383,0.8201217020000001,0.0635466388807195
41,0.77781236,0.79557896,0.7555981,0.810604,0.89623547,0.8071657780000001,0.05385242408066624
42,0.7619361,0.78264666,0.7220806,0.828248,0.8267215,0.784326572,0.04501427031681087
43,0.75640154,0.7650599,0.7072348,0.81736124,0.8101716,0.771245816,0.044715425880757054
44,0.7602223,0.7692404,0.68749565,0.8149866,0.83216625,0.77282224,0.05646184509008494
45,0.76210666,0.75373095,0.67698157,0.78760046,0.78242296,0.75256852,0.044509096756573795
46,0.72369444,0.7407372,0.6847731,0.76908374,0.74461776,0.732581248,0.03125869266292689
47,0.6840505,0.7171283,0.68307185,0.78591293,0.7420757,0.7224478559999999,0.04320356568112669
48,0.6804392,0.7147419,0.65346074,0.7674604,0.72188705,0.707597858,0.04332194169390173
49,0.6988337,0.71270907,0.6527406,0.7541914,0.69976646,0.703648246,0.03628548430441543
50,0.65704995,0.69227916,0.66076577,0.7541996,0.7034103,0.693540956,0.03932007600539868
51,0.66153157,0.6951747,0.64928925,0.72023016,0.68672764,0.6825906639999999,0.02803869561029951
52,0.66322184,0.6866066,0.62667745,0.69962287,0.66932905,0.669091562,0.02771463628657375
53,0.6423842,0.68653905,0.630592,0.69153166,0.6659182,0.6633930219999999,0.0266982009256976
54,0.65815717,0.656652,0.6585636,0.6882879,0.6591257,0.664157274,0.013520571573656912
55,0.6517097,0.65619844,0.63588214,0.6861061,0.6553868,0.657056636,0.018195777097796097
