n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,-0.0028788543,0.00051716366,-0.0007888953,-0.001472675,0.00064124045,-0.0007964040979999998,0.001465117713700883
2,-0.0025050296,-0.00049745414,0.0013924171,0.0010985095,-0.001553429,-0.000412997228,0.001675446994581188
3,-0.0006386858,0.0015805922,-0.00019560565,0.0020632893,-0.0028144466,-9.713100000000203e-07,0.0019443971113602843
4,-0.0017748242,0.0023859728,-0.0003298978,0.0017336903,-0.0026099496,-0.00011900169999999998,0.002162083003120493
5,-0.00085540477,0.0008750969,-0.0001789806,0.0013578662,-0.0017221305,-0.00010471055400000004,0.00125342117179766
6,-0.0021419108,0.00096408,-0.0012022174,0.00061315374,-0.0009092295,-0.000535224792,0.0012973903326590286
7,-0.0023454921,0.00015739165,0.0007587263,0.0006353232,-0.00083963695,-0.00032673758,0.0012919567974884146
8,-0.0022923595,9.207013e-06,-0.00010492653,0.0005336181,-0.0008454137,-0.0005399749233999999,0.0010963136451670199
9,-0.0019043473,-0.00037768192,-0.00011767463,0.0016082115,-0.0035772265,-0.0008737437699999999,0.001958876104633933
10,-0.0021736145,-0.001190721,-0.00016702994,0.0013846188,-0.0014569608,-0.000720741488,0.0013795722187271917
11,-0.0013279418,-0.002226416,-0.00013762148,0.0013758123,-0.0013040471,-0.000724042816,0.001388479890729812
12,-0.0007840337,-0.002224635,-6.740039e-05,0.0013759139,-0.0009940267,-0.000538836378,0.001322663739181103
13,-0.0007378936,-0.0018190052,1.8633533e-06,0.005081708,-0.0009545132,0.00031443187065999993,0.0027428901269663545
14,-0.00022410094,-0.00092607364,-0.00011894578,0.0042275134,-0.00085342256,0.000420994096,0.0021584717501830874
15,-0.0009732753,-2.9453842e-05,-0.00035661578,0.004926732,-0.0006377207,0.0005859332755999999,0.00245143294965921
16,-7.581673e-05,0.000739692,-0.0008421011,0.005211509,-0.00035614395,0.0009354278439999998,0.002458330989085037
17,0.001113206,0.0012305074,-0.00039739173,0.0046558683,-0.00016683878,0.0012870702379999999,0.0020207357610962555
18,-0.00030108413,0.0013335804,0.0005037686,0.004190729,-0.00011127763,0.001123143248,0.0018296317678488919
19,-4.8739446e-05,0.0013198184,0.0004427132,0.00375301,-7.8852565e-05,0.0010775899178,0.0015988740375976473
20,4.594253e-05,0.0012246463,0.0002243152,0.0032355692,-6.458296e-05,0.0009331780539999999,0.0013848428782259376
21,0.00012536575,0.0008597844,0.00010719607,0.0027689934,-7.123487e-05,0.0007580209500000001,0.001179603411737694
22,-2.0918027e-05,0.00027018084,0.00015029742,0.0023978616,-5.9778333e-05,0.0005475287000000001,0.001042880611557203
23,5.415865e-05,-0.00022418656,0.00010514473,0.0020382088,-5.4215354e-05,0.0003838220532,0.0009333924364508607
24,3.664166e-05,-0.00047834474,3.7292317e-05,0.0016912231,-4.803526e-05,0.0002477554154,0.0008347419136052167
25,2.2083663e-05,-0.0005139605,8.495999e-06,0.0013611773,-3.084245e-05,0.00016939080239999996,0.0007026741678757425
26,1.5644919e-05,-0.00054729055,-1.3937048e-05,0.0010888139,1.6927279e-05,0.00011203169999999998,0.0005964504764647013
27,5.2526317e-05,-0.00058413134,7.508174e-05,0.0008311378,7.826567e-05,9.05760374e-05,0.0005013734059967595
28,8.685264e-05,-0.00054345443,9.095912e-05,0.0007143008,0.00013833439,9.739850400000001e-05,0.0004452778215628112
29,3.2296768e-05,-0.0004414617,9.511123e-05,0.0006156902,0.00012644117,8.561553359999999e-05,0.00037529633416181736
30,1.2508646e-05,-0.00022031133,0.00014927205,0.00041848526,4.6964524e-05,8.138383e-05,0.00023194537809945385
31,8.826137e-06,-1.8592202e-05,0.00029494945,0.00024998578,0.00016037821,0.000139109475,0.00014042398210062666
32,-5.6140954e-05,0.00023916102,0.00041095,0.00013902436,7.412832e-05,0.00016142454920000003,0.00017589987050932302
33,-3.4708515e-05,0.000372738,0.0007008327,-4.9874667e-05,8.173323e-05,0.00021414414959999996,0.0003206181491672973
34,-8.741769e-05,0.00031394482,0.0011907611,-6.8090856e-05,0.0002466443,0.0003191683348,0.0005196736585351563
35,-5.6666126e-05,0.00017845552,3.530123e-05,-5.0822615e-05,0.00088456756,0.00019816711379999998,0.00039528321515544784
36,-0.00021511741,0.00011110157,-0.0012510461,-4.8585236e-05,-0.00026537172,-0.00033380377919999996,0.0005337118284146195
37,-0.00027730028,7.289277e-05,-4.609188e-06,0.00019505563,-0.00096257735,-0.0001953076836,0.00046263010142610195
38,-3.8005077e-05,0.000113467235,-0.00060335535,0.00033583955,0.00032948173,2.7485617600000013e-05,0.0003859812157164102
39,-0.00027561304,-2.240752e-05,5.942761e-05,0.00030195864,-0.0005576766,-9.886218200000001e-05,0.0003291313722930815
40,-3.534493e-05,0.00013242551,-0.0005182487,0.00022616764,0.0001855855,-1.8829960000000058e-06,0.0003053455197194215
41,-0.00026780678,-0.00021199297,4.4951077e-05,0.00025125567,-0.00037283718,-0.00011128603660000001,0.0002544091954183594
42,0.0003057209,0.00026213724,-0.00052708446,0.00027633316,7.494927e-05,7.841122199999997e-05,0.0003504408077609439
43,-0.0001053906,7.8153935e-06,-5.4610166e-05,0.00026689988,-0.00027273694,-3.160448650000001e-05,0.0001967087286601703
