n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,-inf,-inf,-inf,-inf,-inf,-inf,
2,-inf,0.0,0.0,0.0,0.0,-inf,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
16,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
17,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
18,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
19,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
20,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
21,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
22,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
23,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
24,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
25,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
26,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
27,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
28,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
29,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
30,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
31,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
32,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
33,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
34,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
35,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
36,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
37,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
38,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
39,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
40,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
41,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
42,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
43,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
44,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
45,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
46,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
47,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
48,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
49,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
50,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
51,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
52,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
53,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
54,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
55,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
56,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
57,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
58,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
59,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
60,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
61,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
62,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
63,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
64,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
65,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
66,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
67,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
68,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
69,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
70,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
71,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
72,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
73,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
74,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
75,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
76,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
77,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
78,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
79,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
80,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
81,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
82,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
83,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
84,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
85,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
86,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
87,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
88,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
89,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
90,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
91,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
92,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
93,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
94,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
95,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
96,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
97,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
98,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
99,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
100,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
101,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
102,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
103,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
104,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
105,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
106,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
107,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
108,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
109,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
110,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
111,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
112,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
113,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
114,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
115,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
116,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
117,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
118,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
119,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
120,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
121,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
122,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
123,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
124,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
125,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
126,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
127,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
128,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
129,0.0,0.0,0.0,100.0,0.0,20.0,44.721359549995796
