n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
14,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
15,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
16,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
17,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
18,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
19,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
20,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
21,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
22,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
23,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
24,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
25,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
26,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
27,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
28,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
29,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
30,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
31,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
32,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
33,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
34,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
35,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
36,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
37,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
38,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
39,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
40,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
41,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
42,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
43,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
44,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
45,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
46,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
47,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
48,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
49,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
50,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
51,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
