n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,-0.0028788543,0.00051716366,-0.0007888953,-0.001472675,0.00064124045,-0.0007964040979999998,0.001465117713700883
2,-0.0025050296,-0.00049745414,0.0013924171,0.0010985095,-0.001553429,-0.000412997228,0.001675446994581188
3,-0.0006386858,0.0015805922,-0.00019560565,0.0020632893,-0.0028144466,-9.713100000000203e-07,0.0019443971113602843
4,-0.0017748242,0.0023859728,-0.0003298978,0.0017336903,-0.0026099496,-0.00011900169999999998,0.002162083003120493
5,-0.00085540477,0.0008750969,-0.0001789806,0.0013578662,-0.0017221305,-0.00010471055400000004,0.00125342117179766
6,-0.0021419108,0.00096408,-0.0012022174,0.00061315374,-0.0009092295,-0.000535224792,0.0012973903326590286
7,-0.0023454921,0.00015739165,0.0007587263,0.0006353232,-0.00083963695,-0.00032673758,0.0012919567974884146
8,-0.0022923595,9.207013e-06,-0.00010492653,0.0005336181,-0.0008454137,-0.0005399749233999999,0.0010963136451670199
9,-0.0019043473,-0.00037768192,-0.00011767463,0.0016082115,-0.0035772265,-0.0008737437699999999,0.001958876104633933
10,-0.0021736145,-0.001190721,-0.00016702994,0.0013846188,-0.0014569608,-0.000720741488,0.0013795722187271917
11,-0.0013279418,-0.002226416,-0.00013762148,0.0013758123,-0.0013040471,-0.000724042816,0.001388479890729812
12,-0.0007840337,-0.002224635,-6.740039e-05,0.0013759139,-0.0009940267,-0.000538836378,0.001322663739181103
13,-0.0007378936,-0.0018190052,1.8633533e-06,0.005081708,-0.0009545132,0.00031443187065999993,0.0027428901269663545
14,-0.00022410094,-0.00092607364,-0.00011894578,0.0042274967,-0.00085342256,0.000420990756,0.0021584643874657814
15,-0.0009732753,-2.9453842e-05,-0.00035661578,0.004926111,-0.0006377207,0.0005858090756000001,0.0024511580458630427
16,-7.581673e-05,0.000739692,-0.0008421011,0.005209847,-0.00035614395,0.000935095444,0.002457608264330176
17,0.001113206,0.0012305074,-0.00039739173,0.004591234,-0.00016683878,0.001274143378,0.001993825113301364
18,-0.00030108413,0.0013335804,0.0005037686,0.004166371,-0.00011127763,0.0011182716480000001,0.0018194259923066545
19,-4.8739446e-05,0.0013198184,0.0004427132,0.0036625727,-7.8852565e-05,0.0010595024578,0.0015611070062138879
20,4.594253e-05,0.0012246463,0.0002243152,0.0032419593,-6.458296e-05,0.0009344560740000001,0.0013874992680645742
21,0.00012536575,0.0008597844,0.00010719607,0.0028062332,-7.123487e-05,0.0007654689100000001,0.0011954855396221953
22,-2.0918027e-05,0.00027018084,0.00015029742,0.0023415356,-5.9778333e-05,0.0005362635,0.0010179015513076034
23,5.415865e-05,-0.00022418656,0.00010514473,0.0019801403,-5.4215354e-05,0.0003722083532,0.0009076684153141203
24,3.664166e-05,-0.00047834474,3.7292317e-05,0.0016446661,-4.803526e-05,0.0002384440154,0.0008146323162526379
25,2.2083663e-05,-0.0005139605,8.495999e-06,0.001333567,-3.084245e-05,0.00016386874239999997,0.0006909780463703189
26,1.5644919e-05,-0.00054729055,-1.3937048e-05,0.001110569,1.6927279e-05,0.00011638272,0.0006053699901463412
27,5.2526317e-05,-0.00058413134,7.508174e-05,0.00085392996,7.826567e-05,9.51344694e-05,0.000509822213956802
28,8.685264e-05,-0.00054345443,9.095912e-05,0.00082765194,0.00013833439,0.00012006873200000002,0.00048559790343831943
29,3.2296768e-05,-0.0004414617,9.511123e-05,0.000565395,0.00012644117,7.555649359999999e-05,0.00035780323389140274
30,1.2508646e-05,-0.00022031133,0.00014927205,0.00036426913,4.6964524e-05,7.0540604e-05,0.00021271663944341784
31,8.826137e-06,-1.8592202e-05,0.00029494945,0.00022245613,0.00016037821,0.000133603545,0.00013544105042360676
32,-5.6140954e-05,0.00023916102,0.00041095,0.00012030387,7.412832e-05,0.00015768045120000002,0.00017669331355012554
33,-3.4708515e-05,0.000372738,0.0007008327,5.2944182e-05,8.173323e-05,0.0002347079194,0.0003022205904613767
34,-8.741769e-05,0.00031394482,0.0011907611,0.00012565136,0.0002466443,0.000357916778,0.0004899527464270947
35,-5.6666126e-05,0.00017845552,3.530123e-05,0.00015598783,0.00088456756,0.0002395292028,0.0003729022578492506
36,-0.00021511741,0.00011110157,-0.0012510461,0.0002415281,-0.00026537172,-0.000275781112,0.0005857083889300991
37,-0.00027730028,7.289277e-05,-4.609188e-06,0.0002895567,-0.00096257735,-0.00017640746959999998,0.00048400162872011814
38,-3.8005077e-05,0.000113467235,-0.00060335535,0.0002346272,0.00032948173,7.243147600000013e-06,0.00036800227414983443
39,-0.00027561304,-2.240752e-05,5.942761e-05,0.0002608511,-0.0005576766,-0.00010708369,0.000316902267599805
40,-3.534493e-05,0.00013242551,-0.0005182487,0.00030405726,0.0001855855,1.369492799999999e-05,0.0003214508262283232
41,-0.00026780678,-0.00021199297,4.4951077e-05,0.00028261426,-0.00037283718,-0.0001050143186,0.00026571621951691136
42,0.0003057209,0.00026213724,-0.00052708446,9.483451e-05,7.494927e-05,4.2111491999999976e-05,0.0003338200555064292
43,-0.0001053906,7.8153935e-06,-5.4610166e-05,-2.3912844e-05,-0.00027273694,-8.97670313e-05,0.00011047306479536475
