advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_step,wait_update,eplen,eprooms,rewtotal
0.6178458,0.27592993,-inf,0,nan,-1.0,-0.00012886524200439453,932297502720,0,1,0.0043592164,0.45025718,0.4345703,2.8860354,0.34496164,2.7985005,4.2564588,0.013970362,-0.5438797,-0.023997724,0.07251083,0,-0.0033185207,0.00015945987,0.6202605,0.27600572,0.104652844,2.475329,0.042880733,1.0142478,0.49204335,[],0,56.87588143348694,72.01718663422437,-0.0033385642,0.00044852943,0.002454801,0.00038973856,11.717502355575562,5.845791816711426,,,
0.31221196,0.14789002,-inf,0,nan,-1.0,-0.009068012237548828,931847663616,0,2,0.0042554317,0.42842996,0.25878906,2.88257,0.38356692,2.6330452,4.219007,0.011914912,-0.30210844,0.1424408,0.019001829,0,-0.0005206956,0.00014943423,0.65746313,0.14726658,0.058240972,1.2179656,0.024101045,0.50401366,0.25456056,[],0,63.199055433273315,647.7759673512394,-0.0005319427,0.00024561796,0.3452736,0.017797746,6.320108652114868,4.2919275760650635,,,
0.24290717,0.1412908,0.0,10,0.0,-0.5006604194641113,-0.044469237327575684,931767418880,1,3,0.0027488943,0.36932048,0.08203125,2.878257,0.36400768,1.9712878,4.4510436,0.017548053,-0.21977817,0.16191964,0.015255588,0,0.0010107676,0.000190024,1.0244386,0.13831064,0.06145018,1.1052465,0.024068601,0.4328993,0.2207653,[1],3410,69.37373995780945,663.3537282307889,0.0011327282,0.0002350792,0.78128755,0.027600994,6.17293643951416,4.312391996383667,341.0,1.0,0.0
0.18427514,0.15268491,0.0,14,0.0,-0.3260948657989502,-0.028806447982788086,931894947840,1,4,0.0032173938,0.35892218,0.2578125,2.8719199,0.38362435,1.9343399,4.3537087,0.014525865,-0.18439099,0.18868954,0.017030269,0,0.0021524294,0.00024553598,1.2953162,0.15047932,0.06257054,1.0353819,0.024151795,0.39965022,0.21308243,[1],5231,75.41997241973877,677.4466354502558,0.002228885,0.00016224505,1.1108882,0.018933441,6.04314923286438,4.255756378173828,373.64285714285717,1.0,0.0
0.12785697,0.12779234,0.0,29,0.0,-0.037529945373535156,-0.0845257043838501,931845353472,1,5,0.0023226705,0.34316513,0.07714844,2.86959,0.39232862,1.0479153,4.17865,0.00712508,-0.14461698,0.20569198,0.010013415,0,0.003466601,0.0006672236,1.4975133,0.12266059,0.059225846,0.9496171,0.02219896,0.35593438,0.1898658,[1],13053,81.51306462287903,672.2366942293636,0.0038961181,0.0004078285,1.3687973,0.036341764,6.0910937786102295,4.169949293136597,450.1034482758621,1.0,0.0
0.085543856,0.12117135,0.0,35,0.0,-0.15089213848114014,-0.04151463508605957,931840892928,1,6,0.0013975753,0.32376373,0.041992188,2.87091,0.40555388,0.50591105,4.4024897,0.0050446503,-0.10403657,0.22261362,0.0057573654,0,0.001965911,0.00023444861,1.6438612,0.1188051,0.065490834,1.0229213,0.021377085,0.3338952,0.17741297,[1],16142,87.67046999931335,665.2152570100786,0.002072482,0.0001964808,1.5581042,0.018599926,6.155452251434326,4.312055349349976,461.2,1.0,0.0
0.040033996,0.118000306,0.0,41,0.0,-0.04170262813568115,-0.034888505935668945,931873804288,1,7,0.0021665362,0.3104056,0.1953125,2.8677387,0.42922837,0.35585395,4.520463,0.007961621,-0.0752672,0.23741683,0.0051461714,0,0.002858415,0.00033307544,1.7175328,0.11603116,0.05898715,0.9071231,0.019609474,0.30156067,0.16977079,[1],19003,93.88509726524353,659.0901863601283,0.0029687854,0.0001338874,1.677278,0.017573135,6.212282419204712,4.330165147781372,463.4878048780488,1.0,0.0
0.029935062,0.10478478,0.0,55,0.0,-0.16347205638885498,-0.05788242816925049,931824570368,1,8,0.0015934838,0.28139502,0.12890625,2.8610196,0.4280677,0.1955053,4.1266456,0.0071381214,-0.036352694,0.24571651,0.003535209,0,0.0020252422,0.00036359348,1.7660457,0.10186356,0.053829346,0.8249726,0.019245628,0.2949528,0.15560426,[1],25717,100.33170461654663,635.3730078103026,0.0021990396,0.00017895467,1.7357631,0.02404568,6.445278644561768,4.499486923217773,467.58181818181816,1.0,0.0
0.029155025,0.09898637,0.0,64,0.0,-0.24814903736114502,-0.029693603515625,931688837120,1,9,0.001372793,0.26171738,0.10839844,2.8527334,0.40602612,0.7470429,4.399234,0.0075851185,-0.010249461,0.2521544,0.003539219,0,0.0014732433,0.00022743751,1.8062105,0.09756809,0.057452787,0.8667525,0.019760873,0.2981193,0.1498609,[1],29657,106.84292006492615,629.0684177897069,0.0015577802,0.00013601554,1.7768865,0.016489128,6.509080171585083,4.538271427154541,463.390625,1.0,0.0
-0.0063968617,0.08917281,0.0,74,0.0,-0.427465558052063,-0.0183107852935791,931682963456,1,10,0.0013322514,0.26635247,0.034179688,2.8450704,0.43362397,0.33300793,4.1289062,0.006633795,-0.011995643,0.2563203,0.004808535,0,0.0007737992,0.00013708077,1.8060341,0.088330664,0.06166022,0.9177453,0.017809175,0.2650702,0.13883151,[1],34074,113.3256676197052,631.8308425168022,0.0008242953,0.00011091253,1.81233,0.01449824,6.480664968490601,4.522705793380737,460.4594594594595,1.0,0.0
0.013033726,0.092756845,0.0,84,0.0,-0.35529065132141113,-0.005651950836181641,931738374144,1,11,0.0014259244,0.27044857,0.068359375,2.8376925,0.43118042,0.43804988,4.1832647,0.0051435083,-0.029320393,0.24484025,0.0065497654,0,0.0008722574,0.00013312127,1.8265364,0.092480965,0.057828672,0.8487688,0.019026816,0.27926227,0.13931239,[1],38101,119.63860654830933,648.8261231320473,0.00091613166,0.000102715654,1.813415,0.012427178,6.311197280883789,4.426842451095581,453.5833333333333,1.0,0.0
-0.012892997,0.07658597,0.0,96,0.0,-0.32078540325164795,0.002860844135284424,931854778368,1,12,0.0019128101,0.2398572,0.0703125,2.8338299,0.4415996,0.08120545,4.50255,0.0059219818,0.012110651,0.2516106,0.0024766033,0,0.0014868951,0.00024320022,1.8120162,0.076596074,0.048259787,0.6991545,0.017469348,0.25308385,0.1237532,[1],42829,125.99011254310608,644.8864743041,0.0015948978,0.000119367716,1.8246931,0.012140072,6.349402666091919,4.448060035705566,446.1354166666667,1.0,0.0
-0.013381204,0.0732036,0.0,105,0.0,-0.8248323202133179,-0.0051937103271484375,931788124160,1,13,0.0008634287,0.21926653,0.0,2.8311532,0.44035637,0.50143826,4.1091127,0.004299718,0.03134339,0.25033686,0.0025580972,0,0.0005174839,9.9527766e-05,1.8019701,0.073024124,0.048655316,0.6981916,0.017243097,0.24743411,0.119048506,[1],45508,132.3511667251587,643.9184265332393,0.00054834696,0.00012406698,1.8152897,0.009394452,6.358896493911743,4.4156529903411865,439.5,1.0,0.0
-0.027568813,0.06991167,0.0,120,0.0,-0.59355628490448,0.0010617971420288086,931835445248,1,14,0.0011272455,0.22567232,0.0,2.8243117,0.48407713,0.09043802,4.150928,0.004537883,0.01628009,0.24160174,0.0024736454,0,0.00084342493,0.00016324088,1.7770567,0.06992743,0.045215067,0.64376515,0.016122239,0.22954595,0.11062899,[1],51854,138.92361164093018,623.208233086007,0.00092512066,0.00013647367,1.8044622,0.010870868,6.571722507476807,4.446712017059326,434.78,1.0,0.0
-0.036049202,0.0677313,0.0,129,0.0,-0.7080466747283936,0.03622007369995117,932187799552,1,15,0.0015285269,0.19405806,0.025390625,2.8119228,0.43375823,0.45092937,4.260825,0.007923968,0.043717187,0.23786688,0.0029035478,0,0.0009169651,0.00014075378,1.7521273,0.068921216,0.045224324,0.64069104,0.015417304,0.21841627,0.10604533,[1],55073,145.33010911941528,639.3506493980141,0.0009721268,0.00012854575,1.7880661,0.007615205,6.402920961380005,4.395939826965332,420.2,1.0,0.0
-0.024179095,0.06743569,0.0,138,0.0,-0.5752905607223511,0.03911387920379639,932163600384,1,16,0.001687876,0.21604961,0.11621094,2.8061543,0.4734935,0.06617911,4.321672,0.0095917815,0.018148955,0.23346731,0.00207489,0,0.0009528684,0.0001596108,1.7410396,0.06869686,0.054540686,0.7673708,0.016028369,0.22551426,0.10517063,[1],58143,151.9275026321411,620.8512261814739,0.0010136577,0.00011899829,1.7650971,0.0076128696,6.596197128295898,4.586599826812744,405.51,1.0,0.0
-0.038001046,0.06305602,0.0,151,0.0,-0.7010543346405029,0.03620797395706177,932145799168,1,17,0.0012776133,0.19983108,0.0,2.8042467,0.46320975,0.16297196,4.1364555,0.004637592,0.032806225,0.2321596,0.0023265323,0,0.0007500391,0.0001459899,1.7114453,0.06415209,0.05618566,0.7852728,0.015022,0.20995337,0.10221712,[1],62435,158.6317596435547,610.9552936283101,0.0007968635,0.00015813162,1.7493527,0.0074642305,6.701276540756226,4.607999086380005,387.94,1.0,0.0
-0.045912847,0.057181437,0.0,165,0.0,-0.787920355796814,0.04666370153427124,931888168960,1,18,0.0009065696,0.20625687,0.0,2.799209,0.49122924,0.3225648,4.3805165,0.0031758165,0.025163002,0.23029846,0.0016778029,0,0.00059497997,0.00013313898,1.6802313,0.058467746,0.03916511,0.5445858,0.014274219,0.19848117,0.092491336,[1],67755,165.35143184661865,609.5533268488855,0.0006459706,0.00015162438,1.726042,0.007626286,6.7171714305877686,4.476154088973999,376.51,1.0,0.0
-0.065321386,0.05327831,0.0,174,0.0,-0.7002958059310913,0.05285567045211792,931858194432,1,19,0.0012961703,0.16591804,0.03515625,2.793943,0.4476127,0.09798928,4.077902,0.0050258925,0.06361076,0.22858265,0.0018478002,0,0.00069071876,0.00010974462,1.6290258,0.054778162,0.043974444,0.610849,0.012634374,0.1755041,0.08644526,[1],70946,176.6482756137848,362.5791796543497,0.0007333351,0.0001149156,1.6942619,0.0059040156,11.296086072921753,4.443697452545166,368.72,1.0,0.0
-0.049004585,0.052490506,0.0,186,0.0,-0.3805936574935913,0.00797271728515625,931696558080,1,20,0.0026935793,0.1735658,0.30273438,2.7884314,0.46127015,0.38549605,4.2068505,0.006624104,0.0444511,0.21639642,0.0011679467,0,0.000688709,0.00012241473,1.5874971,0.05263005,0.041506443,0.57688606,0.012930657,0.17971948,0.08477519,[1],75469,189.37721252441406,321.78648947971186,0.0007403536,0.0001020216,1.6363984,0.005439969,12.725512742996216,4.625043869018555,367.44,1.0,0.0
