metric,value
advmean,-0.00563
advstd,0.0667
best_ret,2600.0
epcount,16100.0
eprew,2400.0
ev_ext,0.999
ev_int,0.97
int_coeff_effective,0.1
mem_available,930000000000.0
n_rooms,6.0
n_updates,3140.0
opt_approxkl,0.00255
opt_auxloss,0.0113
opt_clipfrac,0.185
opt_ent,2.62
opt_featvar,1.54
opt_gradnorm,0.15
opt_maxfeat,8.01
opt_maxkl,0.0379
opt_pg,-8.42e-05
opt_tot,0.00892
opt_vf,0.000321
recent_ext_mean,0.00195
reset_counter,0.0
retextmean,0.471
retextstd,0.974
retintmean,0.278
retintstd,0.142
rewintmax_norm,0.0189
rewintmax_unnorm,0.0878
rewintmean_norm,0.00257
rewintmean_unnorm,0.0119
rewintstd_unnorm,0.0095
rnd_decay,0.1
rooms,[0;1;2;5;6;7]
tcount,12800000.0
time_elapsed,25000.0
tps,559.0
vpredextmean,0.474
vpredextstd,0.976
vpredintmean,0.282
vpredintstd,0.143
wait_step,7.33
wait_update,5.18
eplen,4290.0
eprooms,4.05
rewtotal,1990000.0
