advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,int_coeff_effective,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,recent_ext_mean,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rnd_decay,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_step,wait_update,eplen,eprooms,rewtotal
0.618,0.276,-inf,0.0,,-1.0,-0.000129,1.0,943000000000.0,0.0,1.0,0.00436,0.45,0.435,2.89,0.345,2.8,4.26,0.014,-0.544,-0.024,0.0725,0.0,0.0,-0.00332,0.000159,0.62,0.276,0.105,2.48,0.0429,1.01,0.492,1.0,[],0.0,57.9,70.8,-0.00334,0.000449,0.00245,0.00039,13.3,6.89,,,
0.312,0.148,-inf,0.0,,-1.0,-0.00907,1.0,942000000000.0,0.0,2.0,0.00425,0.428,0.257,2.88,0.384,2.63,4.22,0.0119,-0.302,0.142,0.019,0.0,0.0,-0.000522,0.000149,0.657,0.147,0.0582,1.22,0.0241,0.504,0.255,1.0,[],0.0,66.0,505.0,-0.000533,0.000246,0.345,0.0178,8.11,5.76,,,
0.243,0.141,0.0,10.0,0.0,-0.498,-0.0445,1.0,942000000000.0,1.0,3.0,0.00276,0.369,0.082,2.88,0.364,1.97,4.45,0.0176,-0.22,0.162,0.0153,0.0,0.0,0.00101,0.00019,1.02,0.138,0.0614,1.11,0.0241,0.433,0.221,1.0,[1],3410.0,74.7,471.0,0.00114,0.000235,0.781,0.0276,8.7,5.98,341.0,1.0,0.0
0.184,0.153,0.0,14.0,0.0,-0.313,-0.0288,1.0,942000000000.0,1.0,4.0,0.00324,0.359,0.231,2.87,0.384,1.94,4.35,0.0145,-0.184,0.189,0.017,0.0,0.0,0.00217,0.000247,1.3,0.15,0.0626,1.04,0.0242,0.4,0.213,1.0,[1],5230.0,82.9,501.0,0.00225,0.00016,1.11,0.0189,8.17,5.94,374.0,1.0,0.0
0.128,0.128,0.0,29.0,0.0,-0.0706,-0.0845,1.0,942000000000.0,1.0,5.0,0.00234,0.343,0.0771,2.87,0.392,1.05,4.18,0.0071,-0.145,0.206,0.01,0.0,0.0,0.00338,0.000646,1.5,0.123,0.0592,0.95,0.0222,0.356,0.19,1.0,[1],13100.0,90.6,527.0,0.0038,0.000403,1.37,0.0364,7.77,5.48,450.0,1.0,0.0
0.0856,0.121,0.0,35.0,0.0,-0.212,-0.0414,1.0,942000000000.0,1.0,6.0,0.0014,0.324,0.042,2.87,0.406,0.506,4.4,0.00503,-0.104,0.223,0.00576,0.0,0.0,0.00186,0.00022,1.64,0.119,0.0655,1.02,0.0214,0.334,0.177,1.0,[1],16100.0,98.3,537.0,0.00196,0.000179,1.56,0.0186,7.62,5.53,461.0,1.0,0.0
0.0404,0.118,0.0,41.0,0.0,-0.0366,-0.0348,1.0,942000000000.0,1.0,7.0,0.00214,0.31,0.195,2.87,0.429,0.346,4.52,0.0082,-0.0753,0.237,0.00514,0.0,0.0,0.00278,0.000325,1.72,0.116,0.059,0.907,0.0196,0.302,0.17,1.0,[1],19000.0,106.0,515.0,0.00289,0.000126,1.68,0.0176,7.95,5.89,463.0,1.0,0.0
0.0283,0.106,0.0,54.0,0.0,-0.145,-0.0533,1.0,942000000000.0,1.0,8.0,0.00149,0.281,0.0547,2.86,0.428,0.137,4.13,0.00661,-0.0362,0.246,0.00352,0.0,0.0,0.00218,0.000376,1.77,0.103,0.0538,0.825,0.0192,0.294,0.156,1.0,[1],25300.0,114.0,499.0,0.00234,0.00017,1.74,0.0232,8.21,5.76,468.0,1.0,0.0
0.0284,0.096,0.0,64.0,0.0,-0.181,-0.0402,1.0,942000000000.0,1.0,9.0,0.00134,0.267,0.108,2.85,0.416,0.555,4.44,0.00732,-0.017,0.25,0.00339,0.0,0.0,0.00179,0.000287,1.8,0.0942,0.0574,0.866,0.0197,0.298,0.149,1.0,[1],29700.0,122.0,517.0,0.0019,0.000137,1.78,0.0175,7.92,5.75,464.0,1.0,0.0
0.00571,0.0844,0.0,74.0,0.0,-0.077,-0.0165,1.0,942000000000.0,1.0,10.0,0.000677,0.28,0.0,2.85,0.459,0.507,4.29,0.00325,-0.033,0.248,0.00368,0.0,0.0,0.00296,0.000461,1.82,0.0836,0.0619,0.92,0.0185,0.275,0.137,1.0,[1],34100.0,130.0,505.0,0.00314,9.52e-05,1.81,0.0144,8.11,5.9,461.0,1.0,0.0
0.0206,0.088,0.0,85.0,0.0,-0.0858,-0.00664,1.0,942000000000.0,1.0,11.0,0.00138,0.281,0.0,2.84,0.458,0.306,4.28,0.00422,-0.0355,0.249,0.00624,0.0,0.0,0.00252,0.000399,1.84,0.0877,0.0585,0.853,0.0197,0.287,0.136,1.0,[1],38600.0,138.0,539.0,0.00268,9.16e-05,1.82,0.0129,7.59,5.39,454.0,1.0,0.0
-0.0087,0.0783,0.0,94.0,0.0,-0.128,0.00359,1.0,942000000000.0,1.0,12.0,0.000897,0.256,0.0,2.83,0.479,0.439,4.33,0.00438,-0.012,0.244,0.00224,0.0,0.0,0.0021,0.0003,1.84,0.0783,0.0555,0.799,0.0178,0.256,0.121,1.0,[1],41500.0,146.0,489.0,0.00221,9.79e-05,1.85,0.0105,8.38,6.25,442.0,1.0,0.0
-0.0251,0.0685,0.0,109.0,0.0,-0.192,0.00596,1.0,942000000000.0,1.0,13.0,0.000618,0.238,0.0,2.83,0.487,0.27,4.1,0.00374,0.0118,0.249,0.00216,0.0,0.0,0.0019,0.000372,1.82,0.0686,0.0484,0.691,0.0169,0.241,0.113,1.0,[1],47300.0,154.0,528.0,0.00207,0.000184,1.84,0.0122,7.76,5.48,443.0,1.0,0.0
-0.0268,0.076,0.0,116.0,0.0,0.242,0.0101,1.0,942000000000.0,1.0,14.0,0.00101,0.22,0.0,2.82,0.456,0.15,4.85,0.00493,0.0327,0.252,0.00245,0.0,0.0,0.00118,0.000251,1.8,0.0763,0.0492,0.698,0.0163,0.231,0.116,1.0,[1],50000.0,162.0,529.0,0.00125,0.000239,1.82,0.0084,7.74,5.62,438.0,1.0,0.0
-0.0442,0.0652,0.0,132.0,0.0,0.535,-0.00441,1.0,942000000000.0,1.0,15.0,0.00139,0.196,0.0254,2.81,0.422,0.0637,4.26,0.00709,0.0454,0.241,0.00165,0.0,0.0,-0.000252,0.000257,1.75,0.065,0.0493,0.696,0.0151,0.213,0.105,1.0,[1],55700.0,170.0,527.0,-0.00023,0.000296,1.8,0.0104,7.77,5.56,414.0,1.0,0.0
-0.0431,0.0612,0.0,140.0,0.0,-0.0217,0.0214,1.0,942000000000.0,1.0,16.0,0.00147,0.186,0.0566,2.81,0.438,0.115,4.36,0.0117,0.0471,0.233,0.0018,0.0,0.0,0.000581,0.000209,1.71,0.0618,0.0558,0.786,0.0146,0.206,0.0999,1.0,[1],58900.0,177.0,537.0,0.000613,0.00027,1.76,0.00695,7.62,5.53,403.0,1.0,0.0
-0.033,0.0616,0.0,151.0,0.0,-0.0301,0.0128,1.0,942000000000.0,1.0,17.0,0.00128,0.197,0.0635,2.81,0.471,0.234,4.48,0.009,0.0292,0.226,0.00175,0.0,0.0,0.00022,0.000158,1.68,0.062,0.0466,0.655,0.0148,0.208,0.0977,1.0,[1],62800.0,186.0,474.0,0.000238,0.000215,1.71,0.00691,8.64,5.85,391.0,1.0,0.0
-0.0483,0.061,0.0,164.0,0.0,0.0676,0.0247,1.0,942000000000.0,1.0,18.0,0.000931,0.18,0.0479,2.81,0.45,0.0737,4.2,0.00579,0.0494,0.229,0.00212,0.0,0.0,0.000386,0.000159,1.63,0.0617,0.0474,0.664,0.0135,0.189,0.0924,1.0,[1],67700.0,194.0,528.0,0.000423,0.000198,1.68,0.00709,7.76,5.58,380.0,1.0,0.0
-0.0613,0.0592,0.0,174.0,0.0,-0.34,0.0166,1.0,942000000000.0,1.0,19.0,0.000652,0.15,0.0,2.81,0.399,0.138,4.07,0.00321,0.0755,0.224,0.00158,0.0,0.0,0.000397,0.000117,1.58,0.0597,0.0396,0.556,0.0122,0.171,0.0895,1.0,[1],71900.0,201.0,533.0,0.000421,0.000155,1.64,0.00571,7.68,5.46,378.0,1.0,0.0
-0.0396,0.0583,0.0,185.0,0.0,-0.153,0.0286,1.0,942000000000.0,1.0,20.0,0.00167,0.175,0.0908,2.81,0.487,0.371,4.43,0.00582,0.0356,0.209,0.00142,0.0,0.0,0.000383,0.000119,1.54,0.0591,0.0484,0.678,0.013,0.183,0.0924,1.0,[1],75500.0,209.0,542.0,0.000406,0.000142,1.58,0.00537,7.55,5.4,369.0,1.0,0.0
-0.044,0.0553,0.0,199.0,0.0,0.0719,-0.00237,1.0,942000000000.0,1.0,21.0,0.0014,0.179,0.0,2.81,0.505,0.585,4.4,0.00383,0.0282,0.206,0.00182,0.0,0.0,0.000265,0.000139,1.49,0.0552,0.0493,0.689,0.0124,0.173,0.0869,1.0,[1],80200.0,217.0,490.0,0.000302,0.000176,1.53,0.00573,8.36,6.2,361.0,1.0,0.0
