#{"t_start": 1782713040.3739562, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,273,40.72986
0.0,418,45.015926
0.0,477,50.41077
0.0,1142,63.018095
0.0,962,73.930226
0.0,1055,85.347053
0.0,451,90.504501
0.0,409,95.013406
0.0,195,97.240466
0.0,386,101.695571
0.0,757,870.01383
0.0,491,1463.739477
0.0,402,1892.618853
0.0,366,2316.593745
0.0,493,2721.601206
0.0,707,3416.103351
0.0,306,3643.179853
0.0,478,4152.485696
0.0,405,4546.692961
0.0,326,4812.312541
0.0,269,5193.39887
0.0,453,5538.331469
0.0,959,6642.108837
0.0,289,6929.510652
0.0,427,7347.140701
0.0,407,7776.927811
0.0,870,8721.008589
0.0,319,9136.621976
0.0,262,9421.817089
0.0,790,10280.996187
0.0,760,11155.855838
0.0,542,11735.493237
0.0,764,12579.406509
0.0,618,13281.197695
0.0,1277,14729.513741
0.0,272,15004.664124
0.0,787,15772.740621
0.0,693,16606.793932
0.0,587,17289.461865
0.0,333,17853.607166
0.0,720,18535.215571
0.0,353,18965.629378
0.0,776,19839.272041
0.0,919,20826.121489
