#{"t_start": 1782659225.8780258, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,412,77.589584
0.0,472,82.811643
0.0,281,86.142859
0.0,204,88.212968
0.0,281,91.095004
0.0,752,99.326787
0.0,897,108.937504
0.0,232,111.458911
0.0,259,114.293015
0.0,378,118.418763
0.0,419,122.652217
0.0,566,128.640158
0.0,568,134.619458
0.0,500,140.12725
0.0,691,823.637362
0.0,580,1343.01155
0.0,209,1600.594322
0.0,647,2256.004883
0.0,265,2543.491995
0.0,553,3262.069539
0.0,290,3562.812121
0.0,236,3843.238964
0.0,410,4271.805317
0.0,517,4856.29049
0.0,267,5146.896443
0.0,661,5870.83761
0.0,334,6297.118835
0.0,327,6595.109709
0.0,428,7176.537787
0.0,313,7470.592712
0.0,366,7904.997473
0.0,359,8332.203595
0.0,212,8487.893141
0.0,304,8906.906749
0.0,251,9200.199818
0.0,340,9490.800375
0.0,341,9927.810126
0.0,298,10220.59493
0.0,323,10646.81778
0.0,327,10939.896819
0.0,271,11353.992936
0.0,432,11800.801936
0.0,308,12096.218424
0.0,308,12521.691742
0.0,271,12811.2394
0.0,272,13107.498377
0.0,249,13402.294028
0.0,236,13698.906801
0.0,397,14133.434967
0.0,197,14281.99637
0.0,241,14574.535185
0.0,304,14997.588009
0.0,234,15285.293014
0.0,191,15434.696332
0.0,271,15725.994425
0.0,481,16295.889254
0.0,218,16580.005518
0.0,734,17326.405867
0.0,379,17758.060742
0.0,367,18187.417008
0.0,266,18477.405708
0.0,244,18766.610591
0.0,329,19176.608936
0.0,308,19497.431183
0.0,535,19953.596811
0.0,321,20252.523321
0.0,479,20793.913218
0.0,332,21077.598107
0.0,378,21491.310389
0.0,476,22030.82773
0.0,222,22311.998684
0.0,257,22590.39945
0.0,308,22877.29849
0.0,227,23159.594045
0.0,352,23454.902432
0.0,335,23888.008307
0.0,259,24179.904682
0.0,334,24604.5115
