#{"t_start": 1782685234.8844, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,408,42.322831
0.0,1141,54.84097
0.0,599,60.734324
0.0,1276,73.906435
0.0,552,79.914722
0.0,249,82.738536
0.0,247,85.198982
0.0,251,87.832361
0.0,326,91.799463
0.0,453,96.399492
0.0,784,105.020825
0.0,253,269.689255
0.0,509,913.108961
0.0,251,1247.633651
0.0,651,2082.632017
0.0,606,2887.415693
0.0,511,3517.992969
0.0,191,3832.388168
0.0,377,4270.39232
0.0,490,4723.127279
0.0,514,5466.187141
0.0,283,5744.782868
0.0,339,6040.504901
0.0,299,6464.806093
0.0,247,6749.983599
0.0,330,7058.583768
0.0,349,7525.315621
0.0,395,7990.581062
0.0,449,8602.004687
0.0,308,8926.49772
0.0,396,9385.693369
0.0,239,9682.804877
0.0,253,9979.784657
0.0,506,10575.896879
0.0,242,10845.682956
0.0,261,11101.003735
0.0,225,11380.553836
0.0,225,11535.486919
0.0,469,12161.09371
0.0,302,12455.192232
0.0,337,12878.792348
0.0,224,13163.037898
0.0,472,13614.983892
0.0,556,14346.997112
0.0,456,14749.101892
0.0,380,15148.916002
0.0,377,15544.005712
0.0,234,15804.380914
0.0,233,16077.310205
0.0,263,16311.941087
0.0,258,16577.50504
0.0,247,16849.523175
0.0,784,17747.520248
0.0,280,18057.347939
0.0,591,18688.888588
0.0,331,18989.202524
0.0,238,19298.470045
0.0,410,19742.301615
0.0,226,20042.700977
0.0,411,20468.983429
0.0,471,21041.797698
0.0,352,21510.227232
0.0,231,21820.388663
0.0,219,21990.881887
0.0,355,22447.231882
0.0,331,22886.435202
0.0,217,23037.314249
0.0,512,23610.108731
0.0,506,24184.395157
0.0,229,24493.958055
0.0,425,24944.319084
